adm1,adm2,min_year,max_year,start_pop,end_pop,avg_pop,growth_percent
EASTERN,KAILAHUN,2020,2025,567273,626315,593550.0,10.408039867929551
EASTERN,KENEMA,2020,2025,816136,901080,853941.25,10.408069243361401
EASTERN,KONO,2020,2025,340632,376086,356411.25,10.408299866131191
NORTHERN,BOMBALI,2020,2025,579583,639906,606430.5,10.408000234651466
NORTHERN,KAMBIA,2020,2025,413430,456461,430530.0,10.408291609220424
NORTHERN,KOINADUGU,2021,2023,424205,441343,432774.0,4.040027816739548
NORTHERN,PORT LOKO,2020,2023,681528,723243,699976.6666666666,6.12080501461422
NORTHERN,TONKOLILI,2020,2025,548648,605752,574062.75,10.408130531779939
SOUTHERN,BO,2020,2025,834700,921576,873365.0,10.408050796693423
SOUTHERN,BONTHE,2020,2025,194415,214649,203420.25,10.40763315587789
SOUTHERN,MOYAMBA,2020,2025,317037,350034,331722.75,10.407933458870732
SOUTHERN,PUJEHUN,2020,2025,478012,527764,500154.5,10.408106909449973
WESTERN AREA,WESTERN AREA RURAL,2020,2025,393388,434333,411611.0,10.408299185536924
WESTERN AREA,WESTERN AREA URBAN,2020,2025,1189488,1313291,1244587.75,10.408091548632688
